GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springbbot-security-jwt,com.dailycodebuffer.security.service,CustomUserDetailsService,0,27,0,2,0,8,0,3,0,2
springbbot-security-jwt,com.dailycodebuffer.security.service,ProductService,11,200,0,2,3,43,0,10,0,9
springbbot-security-jwt,com.dailycodebuffer.security.service,JwtService,65,71,4,0,15,15,8,4,6,4
springbbot-security-jwt,com.dailycodebuffer.security.service,UserService,0,49,0,2,0,14,0,4,0,3
springbbot-security-jwt,com.dailycodebuffer.security.exception,GlobalExceptionHandler,0,23,0,0,0,3,0,3,0,3
springbbot-security-jwt,com.dailycodebuffer.security.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
springbbot-security-jwt,com.dailycodebuffer.security,CustomUserDetails,0,28,0,0,0,10,0,8,0,8
springbbot-security-jwt,com.dailycodebuffer.security,SpringSecurityJWTApplication,5,3,0,0,2,1,1,1,1,1
springbbot-security-jwt,com.dailycodebuffer.security.entity,Product,4,32,0,0,2,14,1,7,1,7
springbbot-security-jwt,com.dailycodebuffer.security.entity,User,7,17,0,0,3,8,2,5,2,5
springbbot-security-jwt,com.dailycodebuffer.security.controller,WelcomeController,0,10,0,0,0,3,0,3,0,3
springbbot-security-jwt,com.dailycodebuffer.security.controller,UserController,0,16,0,0,0,5,0,3,0,3
springbbot-security-jwt,com.dailycodebuffer.security.controller,ProductController,33,122,0,0,9,31,0,7,0,7
springbbot-security-jwt,com.dailycodebuffer.security.config,WebSecurityConfig,0,68,0,0,0,21,0,7,0,7
springbbot-security-jwt,com.dailycodebuffer.security.config,JwtAuthenticationFilter,0,74,2,8,0,28,2,5,0,2
